"","pair_id","insert_time","travel_time","time"
"10088841",10356,"2013-09-16 04:10:00","379",2013-09-16 04:10:00
"10088842",10356,"2013-09-16 04:15:00","363",2013-09-16 04:15:00
"10088843",10356,"2013-09-16 04:20:00","379",2013-09-16 04:20:00
"10088844",10356,"2013-09-16 04:25:00","379",2013-09-16 04:25:00
"10088845",10356,"2013-09-16 04:30:00","365",2013-09-16 04:30:00
"10088846",10356,"2013-09-16 04:35:00","365",2013-09-16 04:35:00
"10088847",10356,"2013-09-16 04:40:00","379",2013-09-16 04:40:00
"10088848",10356,"2013-09-16 04:45:00","387",2013-09-16 04:45:00
"10088849",10356,"2013-09-16 04:50:00","387",2013-09-16 04:50:00
"10088850",10356,"2013-09-16 04:55:00","381",2013-09-16 04:55:00
"10088851",10356,"2013-09-16 05:00:00","385",2013-09-16 05:00:00
"10088852",10356,"2013-09-16 05:05:00","385",2013-09-16 05:05:00
"10088853",10356,"2013-09-16 05:10:00","385",2013-09-16 05:10:00
"10088854",10356,"2013-09-16 05:15:00","385",2013-09-16 05:15:00
"10088855",10356,"2013-09-16 05:20:00","385",2013-09-16 05:20:00
"10088856",10356,"2013-09-16 05:25:00","385",2013-09-16 05:25:00
"10088857",10356,"2013-09-16 05:30:00","385",2013-09-16 05:30:00
"10088858",10356,"2013-09-16 05:35:00","353",2013-09-16 05:35:00
"10088859",10356,"2013-09-16 05:40:00","353",2013-09-16 05:40:00
"10088860",10356,"2013-09-16 05:45:00","353",2013-09-16 05:45:00
"10088861",10356,"2013-09-16 05:50:00","361",2013-09-16 05:50:00
"10088862",10356,"2013-09-16 05:55:00","361",2013-09-16 05:55:00
"10088863",10356,"2013-09-16 06:00:00","391",2013-09-16 06:00:00
"10088864",10356,"2013-09-16 06:05:00","409",2013-09-16 06:05:00
"10088865",10356,"2013-09-16 06:10:00","409",2013-09-16 06:10:00
"10088866",10356,"2013-09-16 06:15:00","391",2013-09-16 06:15:00
"10088867",10356,"2013-09-16 06:20:00","391",2013-09-16 06:20:00
"10088868",10356,"2013-09-16 06:25:00","391",2013-09-16 06:25:00
"10088869",10356,"2013-09-16 06:30:00","391",2013-09-16 06:30:00
"10088870",10356,"2013-09-16 06:35:00","391",2013-09-16 06:35:00
"10088871",10356,"2013-09-16 06:40:00","391",2013-09-16 06:40:00
"10088872",10356,"2013-09-16 06:45:00","391",2013-09-16 06:45:00
"10088873",10356,"2013-09-16 06:50:00","391",2013-09-16 06:50:00
